﻿English;German
sense;Sinn
see;sehen
hear;hören
smell;riechen
taste;schmecken
touch;berühren
feel;fühlen, spüren, sich anfühlen
fair;Jahrmarkt, Chilbi
loud noise;lautes Geräusch, Lärm
mild or hot curry;mildes oder scharfes Curry
crunchy biscuits;knusprige Buskuits, Kekse
candyfloss;Zuckerwatte
toffee;Caramelbonbon
sticky candy;klebrige Süssigkeiten, Bonbons
food test;Lebensmitteltest
soft or hard cheese;weicher oder harter Käse
bite;beissen
crack;krachen
sweet or sour apples;süsse oder saure Äpfel
aromatic;aromatisch, würzig
bitter;bitter
fruity;fruchtig
fresh vegetables;frisches Gemüse
a piece of cheese;ein Stück Käse
I like ... because ...;Ich mag ..., weil ...
I don't like ... because ...;Ich mag ... nicht, weil ...
It looks ...;Es sieht ... aus.
It sounds ...;Es tönt ...
It tastes too ...;Es schmeckt zu ...
favourite product;Lieblingsprodukt
result;Resultat, Ergebnis
