﻿English;German
owl;Eule
woodpecker;Specht
beehive;Bienenstock
butterfly;Schmetterling
snail;Schnecke
anthill;Ameisenhaufen
hedgehog;Igel
blackbird;Amsel
squirrel;Eichhörnchen
rabbit;Kaninchen, Hase
mouse (pl. mice);Maus
fox (pl. foxes);Fuchs
deer (pl. deer);Hirsch, Reh
spiderweb;Spinnennetz
a pile of (leaves);ein Haufen (Blätter)
branch;Ast, Zweig
log;Baumstamm (eines gefällten Baums)
tree trunk;Baumstamm (eines lebenden Baums)
root;Wurzel
stick;Zweig, Stock
board;Brett
forest;Wald
rubbish;Abfall, Müll
catch;fangen
fly;fliegen
hunt;jagen
be awake;wach sein
cut;schneiden
climb;klettern
nail;nageln
Don't feed the animals!;Tiere nicht füttern! Tiere füttern verboten!
at night;in der Nacht
during the day;am Tag, tagsüber, während des Tages
