﻿English;German
baker;Bäcker/-in
butcher;Metzger/-in
shop assistant;Verkäufer/-in, Ladenangestellte/-r
waiter, waitress;Serviceangestellter, Serviceangestellte
police officer;Polizeibeamter/-beamtin
street cleaner;Strassenputzer/-in
librarian;Bibliothekar/-in
doctor;Arzt/Ärztin
reporter;Reporter/-in
work;arbeiten
sell;verkaufen
job;Job, Arbeit, Beruf
bakery;Bäckerei
hospital;Spital, Krankenhaus
library;Bibliothek
cinema;Kino
shop;Laden
train station;Bahnhof
bus terminal;Busbahnhof
map;(Land-)Karte, Stadtplan
street;Strasse
in front of the building;vor dem Gebäude
turn left/right;nach links/rechts gehen
walk straight on;geradeaus gehen
cross the street;die Strasse überqueren
town;Stadt
village;Dorf
countryside;Land, Landschaft
letter;Brief
live;leben, wohnen
noisy;laut, lärmend
quiet;leise, ruhig, still
